title,price,mrp,code,url
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Men's Plain Regular fit Polo (19P3DTPE0032I_219_Red_M),419,1199,B07LCR8VKX,https://www.amazon.in/United-Colors-Benetton-Regular-19P3DTPE0032I_219_Red_Medium/dp/B07LCR8VKX/ref=sr_1_5?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-5
Men's Plain Regular fit T-Shirt,349,999,B07LFJXY59,https://www.amazon.in/United-Colors-Benetton-19P3C78J1202I_504_L_Off-White_Large/dp/B07LFJXY59/ref=sr_1_6?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-6
Men's Plain Slim fit Casual Shirt,839,1999,B07L5W15F3,https://www.amazon.in/United-Colors-Benetton-Casual-19P5EC01U008I_903_Navy/dp/B07L5W15F3/ref=sr_1_7?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-7
Men's Sneakers,1080,3699,B07L4YCJCS,https://www.amazon.in/United-Colors-Benetton-Sneakers-11-19P8SNEA3138I_901_40/dp/B07L4YCJCS/ref=sr_1_8?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-8
Men's Printed Regular fit T-Shirt,419,1199,B07LFWS7ML,https://www.amazon.in/United-Colors-Benetton-19P3096E0009I_13C_S_Navy-Blue_Small/dp/B07LFWS7ML/ref=sr_1_9?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-9
Eco Bag 19.5 Ltrs Navy/Grey Casual Backpack (0IP6ECOBPNG2I),370,1499,B07J2M5JJ5,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6ECOBPNG2I/dp/B07J2M5JJ5/ref=sr_1_10?keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-10
Men's Plain Regular fit Polo (19P3DTPE0032I_219_Red_L),419,1199,B07LCQNKQF,https://www.amazon.in/United-Colors-Benetton-Regular-19P3DTPE0032I_219_Red_Large/dp/B07LCQNKQF/ref=sr_1_11?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-11
Men's Printed Regular fit T-Shirt,419,1199,B07LFTY7F5,https://www.amazon.in/United-Colors-Benetton-19P3096E0011I_13C_XL_Navy-Blue_X-Large/dp/B07LFTY7F5/ref=sr_1_12?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-12
Men's Printed Regular fit T-Shirt,349,999,B07LFV3ZS4,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0001I_100_XL_Black_X-Large/dp/B07LFV3ZS4/ref=sr_1_13?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-13
Men's Printed Regular fit T-Shirt,419,1199,B07LFSJMD7,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0013I_101_M_White_Medium/dp/B07LFSJMD7/ref=sr_1_14?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-14
Men's Printed Slim Fit Casual Shirt,1247,2399,B07DMJ5S8V,https://www.amazon.in/United-Colors-Benetton-Printed-18A5FN02U008I_904_M_Off/dp/B07DMJ5S8V/ref=sr_1_15?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-15
Men's Sneakers,1905,3199,B07NLDF4FW,https://www.amazon.in/United-Collors-Benetton-Sneakers-9-19A8SNEAFW52I_908_43/dp/B07NLDF4FW/ref=sr_1_16?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-16
Men's Plain Regular fit Polo,489,1399,B07LCKKLFF,https://www.amazon.in/United-Colors-Benetton-Regular-19P3089E0037I_42D_Blue_Small/dp/B07LCKKLFF/ref=sr_1_17?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-17
Boys' Regular Fit Plain T-Shirt,415,799,B07FBZ77J7,https://www.amazon.in/United-Colors-Benetton-Regular-18A3089CCB3BI_Black/dp/B07FBZ77J7/ref=sr_1_18?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-18
Men's Baseball Cap,559,1599,B07L4ZXQVV,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE015I-17C-ST_Red_One/dp/B07L4ZXQVV/ref=sr_1_19?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-19
Men's Cotton Boxers,279,319,B01MZD50AJ,https://www.amazon.in/United-Colors-Benetton-Cotton-229DI_X-Large_Grey/dp/B01MZD50AJ/ref=sr_1_20?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-20
30 Ltrs Red Casual Backpack (0IP6ECOBPBR2I),742,1499,B07CQQXL66,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6ECOBPBR2I/dp/B07CQQXL66/ref=sr_1_21?keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-21
Men's Plain Regular fit Polo,699,1999,B07LCH9S9S,https://www.amazon.in/United-Colors-Benetton-Regular-19P33D5J1919I_R26_Pink_Large/dp/B07LCH9S9S/ref=sr_1_22?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-22
Men's 19a8cffpm464i Flip-Flops,411,499,B07W65LLBD,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-9-19A8CFFPM464I/dp/B07W65LLBD/ref=sr_1_23?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-23
Boys' Regular Fit Shorts,349,999,B07LFS5SZP,https://www.amazon.in/United-Colors-Benetton-19P3TERC00RWI_501_M_Grey-Melange_7-8/dp/B07LFS5SZP/ref=sr_1_24?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-24
Men's Checkered Slim Fit Casual Shirt,779,2599,B07DMR6TDC,https://www.amazon.in/United-Colors-Benetton-Checkered-18A5FN11U008I_903_L_Navy/dp/B07DMR6TDC/ref=sr_1_25?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-25
Men's Plain Regular fit Polo (19P3DTPJ3033I_101_White_L),419,1199,B07LCQJYKR,https://www.amazon.in/United-Colors-Benetton-Regular-19P3DTPJ3033I_101_White_Large/dp/B07LCQJYKR/ref=sr_1_26?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-26
Men's Ankle Socks,338,339,B01MRWWGI3,https://www.amazon.in/United-Colors-Benetton-Ankle-AL04I_Blue/dp/B01MRWWGI3/ref=sr_1_27?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-27
Men's Printed Regular fit T-Shirt,559,1599,B07LFV68Q4,https://www.amazon.in/United-Colors-Benetton-Printed-19P3C96E0031I_AD3_L_Red_Large/dp/B07LFV68Q4/ref=sr_1_28?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-28
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Men's Printed Regular Fit T-Shirt,419,1199,B07DLZS6Z5,https://www.amazon.in/United-Colors-Benetton-Printed-18A3089J3045I_09Y_S_Spectra/dp/B07DLZS6Z5/ref=sr_1_33?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-33
Men's Flip-Flops,178,499,B07L5SPBLY,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-8-19P8CFFPM217I/dp/B07L5SPBLY/ref=sr_1_34?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-34
Men's Skinny Fit Jeans,1049,2999,B07L5VPJ9L,https://www.amazon.in/United-Colors-Benetton-Skinny-19P4L23E1229I_901_Blue_32W/dp/B07L5VPJ9L/ref=sr_1_35?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-35
Men's Cotton Brief,305,339,B00UL8L1MM,https://www.amazon.in/United-Colors-Benetton-P16DI-Orange/dp/B00UL8L1MM/ref=sr_1_36?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-36
Men's Checkered Slim fit Casual Shirt,839,2399,B07L5XGGBK,https://www.amazon.in/United-Colors-Benetton-Checkered-19P5DB08U008I_901_Coral_L/dp/B07L5XGGBK/ref=sr_1_37?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-37
Boys' Regular Fit Plain T-Shirt,518,799,B07FBPTK34,https://www.amazon.in/United-Colors-Benetton-Regular-18A3094C006HI_Black_1Y/dp/B07FBPTK34/ref=sr_1_38?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-38
Men's Printed Regular fit T-Shirt,489,1399,B07LFS26RS,https://www.amazon.in/United-Colors-Benetton-Printed-19P3AOPJ3066I_B34_L_Blue_Large/dp/B07LFS26RS/ref=sr_1_39?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-39
Men's EVA Flip-Flops and House Slippers,499,same as sellprice,B00Q433VUI,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-Slippers/dp/B00Q433VUI/ref=sr_1_40?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-40
Men's Sneakers,807,2999,B07L4YSB1K,https://www.amazon.in/United-Colors-Benetton-Sneakers-10-19P8SNEA3121I_902_45/dp/B07L4YSB1K/ref=sr_1_41?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-41
Girl's Striped Regular fit T-Shirt,240,799,B07LFLWMY6,https://www.amazon.in/United-Colors-Benetton-Striped-19P3096C0015I_902_EL_Blue_10-11/dp/B07LFLWMY6/ref=sr_1_42?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&smid=AT95IG9ONZD7S&sr=1-42
Men's Canvas Sneaker,1547,2999,B077QQSQG5,https://www.amazon.in/United-Colors-Benetton-Running-16A8CANVFW93I904/dp/B077QQSQG5/ref=sr_1_43?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-43
Girl's Plain Regular fit T-Shirt,300,999,B07LGLGXFJ,https://www.amazon.in/United-Colors-Benetton-19P3096C1406G_F37_Passion-Flower_6-7/dp/B07LGLGXFJ/ref=sr_1_44?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&smid=AT95IG9ONZD7S&sr=1-44
Girl's Plain Regular fit T-Shirt,279,799,B07LFSF53R,https://www.amazon.in/United-Colors-Benetton-Regular-19P3096C0S08I_R45_Pink_7-8/dp/B07LFSF53R/ref=sr_1_45?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-45
Men's Carrot Jeans,1049,2999,B07L5XDBJK,https://www.amazon.in/United-Colors-Benetton-Carrot-19P4L23E1230I_901_Blue_32W/dp/B07L5XDBJK/ref=sr_1_46?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-46
Men's Flip-Flops,170,499,B07L64GF74,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-8-19P8CFFPM211I/dp/B07L64GF74/ref=sr_1_47?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-47
Men's Skinny Fit Jeans,1049,2999,B07L5J3NL6,https://www.amazon.in/United-Colors-Benetton-Skinny-19P4L23E1226I_901_Blue_32W/dp/B07L5J3NL6/ref=sr_1_48?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-48
Men's Plain Regular fit T-Shirt,489,1399,B07LFSMQ39,https://www.amazon.in/United-Colors-Benetton-Regular-19P3BRNJ3703I_R45_M_Pink_Medium/dp/B07LFSMQ39/ref=sr_1_49?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-49
Men's Printed Regular fit Polo,629,1799,B07LGMMY9J,https://www.amazon.in/United-Colors-Benetton-19P3AOPJ3256I_B15_L_Navy-Blue_Large/dp/B07LGMMY9J/ref=sr_1_50?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-50
Roadster Hardcase Luggage ABS 57 cms Black Hardsided Cabin Luggage (0IP6HAB20B02I),2888,8999,B07WJLNWJ9,https://www.amazon.in/United-Colors-Benetton-Hardsided-0IP6HAB20B02I/dp/B07WJLNWJ9/ref=sr_1_51?keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-51
Men's Cotton Trunks,444,459,B00QAI3KDA,https://www.amazon.in/United-Colors-Benetton-Cotton-8903974332448_White_Large/dp/B00QAI3KDA/ref=sr_1_52?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-52
Men's Solid Regular Fit T-Shirt,299,999,B07DLGSSMK,https://www.amazon.in/United-Colors-Benetton-Regular-18A3C78J1202I_13C_EL_Black/dp/B07DLGSSMK/ref=sr_1_53?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-53
Men's Flip-Flops,197,499,B07L5STQCZ,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-9-19P8CFFPM226I/dp/B07L5STQCZ/ref=sr_1_54?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-54
Boy's Plain Regular fit T-Shirt,319,799,B07LFR829S,https://www.amazon.in/United-Colors-Benetton-Regular-19P3096C00Y3I_R26_Pink_6-7/dp/B07LFR829S/ref=sr_1_55?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-55
Men's Polo,1045,1699,B01I5G00PK,https://www.amazon.in/United-Colors-Benetton-Mens-8903975213784_16A3C96J3098I_L_Black-100/dp/B01I5G00PK/ref=sr_1_56?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-56
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
26 Ltrs Black Laptop Backpack (0IP6LPOSTP01I),1936,4999,B07G833CD1,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6LPOSTP01I/dp/B07G833CD1/ref=sr_1_53?keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-53
Girls' Skater Midi Dress,539,1799,B07F48B2V2,https://www.amazon.in/United-Colors-Benetton-Skater-18A4POPC0081I_902_M_Yellow/dp/B07F48B2V2/ref=sr_1_54?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-54
Men's Solid Regular Fit Polo,Sponsored,1199,B07QJFQ2CY,https://www.amazon.in/United-Colors-Benetton-Regular-19A3089J3333I_D58_L_Dandelion_L/dp/B07QJFQ2CY/ref=sr_1_55?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-55
Boy's Slim fit Jeans,639,1599,B07LCDW389,https://www.amazon.in/United-Colors-Benetton-Jeans-19P4KV957IW0G_S51_Blue_7-8/dp/B07LCDW389/ref=sr_1_56?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-56
Girls' Regular Fit Plain T-Shirt,279,799,B07FBYG7ZK,https://www.amazon.in/United-Colors-Benetton-Regular-18A3094C0C11I_Black/dp/B07FBYG7ZK/ref=sr_1_57?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-57
Cotton a-line Dress,420,1399,B07LCFMG2Y,https://www.amazon.in/United-Colors-Benetton-Cotton-19P3089C00J1I_901_Red_8-9/dp/B07LCFMG2Y/ref=sr_1_58?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&smid=AT95IG9ONZD7S&sr=1-58
Men's White Sneakers-10 UK EU (19A8SNEAFW52I_908_44),1635,3199,B07NLCCSRK,https://www.amazon.in/United-Collors-Benetton-Sneakers-8-19A8SNEAFW52I_908_44/dp/B07NLCCSRK/ref=sr_1_59?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-59
Men's Plain Regular fit Polo,923,1599,B07LCH9T57,https://www.amazon.in/United-Colors-Benetton-19P3089E0041I_902_White-Grey_X-Large/dp/B07LCH9T57/ref=sr_1_60?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-60
Men's Formal Shoes,840,2999,B07925HMHZ,https://www.amazon.in/United-Colors-Benetton-Shoes-9-5-18P8UNIC5101I/dp/B07925HMHZ/ref=sr_1_61?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-61
Men's Relaxed Fit Joggers,839,2399,B07NQ41SN9,https://www.amazon.in/United-Colors-Benetton-Relaxed-19P3CTWB5004I_517_32_Oatmeal/dp/B07NQ41SN9/ref=sr_1_62?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-62
Men's Plain Regular fit Polo,489,1399,B07LCS1Y3Z,https://www.amazon.in/United-Colors-Benetton-19P3089E0036I_501_Grey-Melange_Medium/dp/B07LCS1Y3Z/ref=sr_1_63?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-63
Men's Flip-Flops,400,799,B07FXRH8XX,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-9-18A8CFFPM066I/dp/B07FXRH8XX/ref=sr_1_64?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-64
Men's Printed Regular fit Polo,629,1799,B07LCQ4BVD,https://www.amazon.in/United-Colors-Benetton-Printed-19P3089J3298I_501_Grey_Large/dp/B07LCQ4BVD/ref=sr_1_65?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-65
Men's Printed Regular fit T-Shirt,419,1199,B07LFV6972,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096J3039I_902_EL_Blue/dp/B07LFV6972/ref=sr_1_66?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-66
Men's Printed Regular fit T-Shirt,419,1199,B07LFMF27T,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0009I_101_M_White_Medium/dp/B07LFMF27T/ref=sr_1_67?dchild=1&keywords=united+colors+of+benetton&qid=1574146079&s=apparel&sr=1-67
